name	description	datasheet
4073	Triple And 3 inputs	http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4073bms-81bms-82bms.pdf
4075	Triple Or 3 inputs	http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4071bms-72bms-75bms.pdf
4077	Quad Xnor 2 inputs	http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4076bms.pdf
4081	Quad And 2 inputs	http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4073bms-81bms-82bms.pdf
4098	Dual Monostable Multivibrator	http://www.ti.com/lit/ds/symlink/cd4098b.pdf
4504	CMOS Hex Voltage-Level Shifter for TTL-to-CMOS or CMOS-to-CMOS, DIP-16/SOIC-16/TSSOP-16	http://www.ti.com/lit/ds/symlink/cd4504b.pdf
4510	4 bits programmable counter	http://pdf.datasheetcatalog.com/datasheets/150/109581_DS.pdf
4518	Dual BCD Up-Counter	http://www.intersil.com/content/dam/Intersil/documents/cd45/cd4518bms-20bms.pdf
4520	Dual Binary Up-Counter	http://www.intersil.com/content/dam/Intersil/documents/cd45/cd4518bms-20bms.pdf
4538	Monostable	https://assets.nexperia.com/documents/data-sheet/HEF4538B.pdf
4543	BCD to 7-segment latch/decoder/driver	http://www.ti.com/lit/ds/symlink/cd4543b.pdf
CD4033B	20V, CMOS Decade Counter/Divider, 7 Segment Decoder, Ripple Blanking, Lamp Test, 100mW/Output, DIP-16	https://www.ti.com/lit/ds/symlink/cd4033b.pdf
HEF4093B	Quad 2-Input NAND Schmitt Trigger, SOIC-14	https://assets.nexperia.com/documents/data-sheet/HEF4093B.pdf
HEF4094B	8-bit serial-in parallel-out shift register, 3..15V	https://assets.nexperia.com/documents/data-sheet/HEF4094B.pdf
14528	Monostable	https://www.onsemi.com/pub/Collateral/MC14528B-D.PDF
14538	Monostable	https://www.onsemi.com/pub/Collateral/MC14538B-D.PDF
4066	Quad Analog Switches	http://www.ti.com/lit/ds/symlink/cd4066b.pdf
4528	Monostable	http://datasheet.octopart.com/CD4528BCN-Fairchild-datasheet-143503.pdf
4001		
4002		
4006		
4008		
4009		
4010		
40104		
40106		
4011		
40110		
4012		
4013		
4014		
4015		
4016		
4017		
40174		
40175		
4018		
4019		
40192		
40193		
40194		
4020		
4021		
4022		
4023		
4024		
40240		
40245		
4025		
4027		
4028		
4029		
4030		
40373		
40374	8-bit D-flip-flop with 3-State outputs	https://www.digchip.com/datasheets/download_datasheet.php?id=369790&part-number=HEF40374BDB
4040		
4041		
4042		
4043		
4044		
4046		
4048		
4049		
4050		
4051		
4052		
4053		
4060	Binary counter (14-stages) and oscillator	https://www.st.com/resource/en/datasheet/m74hc4060.pdf
4068	CMOS 8-input NAND/AND Gate	http://www.ti.com/lit/ds/symlink/cd4068b.pdf
4069		
4070		
4071		
4072		
4073		
4075		
4077		
4078	8-input OR/NOR gate	https://www.ti.com/lit/ds/symlink/cd4078b.pdf
4081		
4082		
4093		
4095		
4096		
4099		
4104		
4160		
4161		
4162		
4163		
4174		
4175		
4502		
4504	4504 Hex Voltage-level Shifter	http://www.ti.com/lit/ds/symlink/cd4504b.pdf
4507		
4508		
4510		
4511		
4512		
4514		
4515		
4518		
4520		
4529		
4530		
4538		
4539		
4543		
4555		
4556		
4585		
40160		
40161		
40162		
40163		
40244		
4066		
4528		
4584		
74AHC1G4210	10-stage divider and oscillator, SOT353-1	https://assets.nexperia.com/documents/data-sheet/74AHC1G4210.pdf
74AUC1G74	Single D Flip-Flop, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74CBT1G125	Single FET Bus Switch	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74CBT1G384	Single FET Bus Switch	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC1G00	Single NAND Gate, Low-Voltage CMOS	https://www.ti.com/lit/ds/symlink/sn74lvc1g00.pdf
74LVC1G02	Single NOR Gate, Low-Voltage CMOS	https://www.ti.com/lit/ds/symlink/sn74lvc1g02.pdf
74LVC1G04	Single NOT Gate, Low-Voltage CMOS	https://www.ti.com/lit/ds/symlink/sn74lvc1g04.pdf
74LVC1G06	Single NOT Gate, Open Drain, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC1G07	Single Buffer Gate, Open Drain, Low-Voltage CMOS	https://www.ti.com/lit/ds/symlink/sn74lvc1g07.pdf
74LVC1G08	Single AND Gate, Low-Voltage CMOS	https://www.ti.com/lit/ds/symlink/sn74lvc1g08.pdf
74LVC1G0832	Single AND-OR Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC1G10	Single NAND 3-Input Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC1G11	Single AND 3-Input Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC1G123	Single Retriggerable Monostable Multivibrator, Low-Voltage CMOS	http://www.ti.com/lit/ds/symlink/sn74lvc1g123.pdf
74LVC1G125	Single Buffer Gate Tri-State, Low-Voltage CMOS	https://www.ti.com/lit/ds/symlink/sn74lvc1g125.pdf
74LVC1G126	Single Buffer Gate Tri-State, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC1G139	2 to 4 Decoder, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC1G14	Single Schmitt NOT Gate, Low-Voltage CMOS	https://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC1G17	Single Schmitt Buffer Gate, Low-Voltage CMOS	https://www.ti.com/lit/ds/symlink/sn74lvc1g17.pdf
74LVC1G175	Single D Flip-Flop, Asynchronous Clear, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC1G18	Single Demultiplexer, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC1G19	1 of 2 Decoder, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC1G240	Single Buffer/Driver Gate Tri-State, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC1G27	Single NOR 3-Input Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC1G29	2 of 3 Decoder, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC1G3157	SPDT Analog Switch, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC1G32	Single OR Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC1G3208	Single OR-AND Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC1G332	Single OR 3-Input Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC1G34	Single Buffer Gate, Low-Voltage CMOS	https://www.ti.com/lit/ds/symlink/sn74lvc1g34.pdf
74LVC1G373	Single D Latch, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC1G374	Single D Flip-Flop Tri-State Output, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC1G38	Single NAND Gate Open Drain, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC1G386	Single XOR 3-Input Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC1G57	Configurable Multi-Function Single Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC1G58	Configurable Multi-Function Single Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC1G66	Single Bilateral Analog Switch, SOT-23-5/SC-70-5	http://www.ti.com/lit/ds/symlink/sn74lvc1g66.pdf
74LVC1G79	Single D Flip-Flop, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC1G80	Single D Flip-Flop, Inverted Output, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC1G86	Single XOR Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC1G99	Configurable Multi-Function Single Gate, Low-Voltage CMOS	https://www.ti.com/lit/gpn/sn74lvc1g99
74LVC1GU04DRL	Single Inverter Gate, SOT-553	http://www.ti.com/lit/ds/symlink/sn74lvc1gu04.pdf
74LVC2G00	Dual NAND Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC2G02	Dual NOR Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC2G04	Dual NOT Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC2G06	Dual NOT Gate, Open Drain, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC2G07	Dual Buffer, Open Drain, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC2G08	Dual AND Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC2G125	Dual Buffer Tri-State, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC2G126	Dual Buffer Tri-State, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC2G14	Dual NOT Gate, Schmitt Triggered, Low-Voltage CMOS	https://www.ti.com/lit/ds/symlink/sn74lvc2g14.pdf
74LVC2G157	Single 2 to 1 Multiplexer, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC2G17	Dual Buffer, Schmitt Triggered, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC2G240	Dual Inverter Buffer Tri-State, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC2G241	Dual Buffer Tri-State, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC2G32	Dual OR Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC2G34	Dual Buffer, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC2G38	Dual NAND Gate, Open Drain, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC2G53	1 to 2 Analog Switch Mux/Demux, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC2G66	Dual Analog Switch	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC2G74	74AUC1G74, Single D Flip-Flop, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC2G79	Dual D Flip-Flop, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC2G80	Dual D Flip-Flop, Negative Output, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC2G86	Dual XOR Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC3G04	Triple NOT Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC3G06	Triple NOT Gate, Open Drain, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC3G07	Triple Buffer, Open Drain, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC3G14	Triple NOT Gate Schmitt, Low-Voltage CMOS	https://www.ti.com/lit/ds/symlink/sn74lvc3g14.pdf
74LVC3G17	Triple Buffer Schmitt, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC3G34	Triple Buffer, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
Inverter_Schmitt_Dual	Dual schmitt inverter	~
NC7SVU04P5X	High-Speed Logic Inverter, SOT-353	https://www.onsemi.com/pub/Collateral/NC7SVU04-D.pdf
NC7SZ125M5X	TinyLogic UHS Buffer, Tri-State Output, SOT-23-5	https://www.onsemi.com/pdf/datasheet/nc7sz125-d.pdf
74AHC1G00	Single NAND Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AHC1G02	Single NOR Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AHC1G04	Single NOT Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AHC1G08	Single AND Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AHC1G125	Single Buffer Gate Tri-State, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AHC1G126	Single Buffer Gate Tri-State, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AHC1G14	Single Schmitt NOT Gate, Low-Voltage CMOS	https://www.ti.com/lit/ds/symlink/sn74lvc1g14.pdf
74AHC1G32	Single OR Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AHC1G86	Single XOR Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AHC1GU04	74AHC1G04, Single NOT Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AHC2G00	Dual NAND Gate, High-speed Si-gate CMOS	https://assets.nexperia.com/documents/data-sheet/74AHC_AHCT2G00.pdf
74AHCT1G00	Single NAND Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AHCT1G02	Single NOR Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AHCT1G04	Single NOT Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AHCT1G08	Single AND Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AHCT1G125	Single Buffer Gate Tri-State, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AHCT1G126	Single Buffer Gate Tri-State, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AHCT1G14	Single Schmitt NOT Gate, Low-Voltage CMOS	https://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AHCT1G32	Single OR Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AHCT1G86	Single XOR Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AHCT1GU04	74AHCT1G04, Single NOT Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AHCT2G00	Dual NAND Gate, TTL input High-speed Si-gate CMOS	https://assets.nexperia.com/documents/data-sheet/74AHC_AHCT2G00.pdf
74AUC1G00	Single NAND Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUC1G02	Single NOR Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUC1G04	Single NOT Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUC1G06	Single NOT Gate, Open Drain, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUC1G07	Single Buffer Gate, Open Drain, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUC1G08	Single AND Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUC1G125	Single Buffer Gate Tri-State, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUC1G126	Single Buffer Gate Tri-State, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUC1G14	Single Schmitt NOT Gate, Low-Voltage CMOS	https://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUC1G17	Single Schmitt Buffer Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUC1G18	Single Demultiplexer, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUC1G19	Single 1 of 2 Decoder, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUC1G240	Single Buffer/Driver Gate Tri-State, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUC1G32	Single OR Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUC1G66	Single Bilateral Analog Switch, SOT-23-5/SC-70-5	http://www.ti.com/lit/ds/symlink/sn74auc1g66.pdf
74AUC1G79	Single D Flip-Flop, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUC1G80	Single D Flip-Flop, Inverted Output, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUC1G86	Single XOR Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUC1GU04	74AUC1G04, Single NOT Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUC2G00	Dual NAND Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUC2G02	Dual NOR Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUC2G04	Dual NOT Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUC2G06	Dual NOT Gate, Open Drain, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUC2G07	Dual Buffer, Open Drain, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUC2G08	Dual AND Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUC2G125	Dual Buffer Tri-State, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUC2G126	Dual Buffer Tri-State, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUC2G240	Dual Inverter Buffer Tri-State, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUC2G241	Dual Buffer Tri-State, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUC2G32	Dual OR Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUC2G34	Dual Buffer, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUC2G53	1 to 2 Analog Switch Mux/Demux, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUC2G66	Dual Analog Switch	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUC2G79	Dual D Flip-Flop, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUC2G80	Dual D Flip-Flop, Negative Output, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUC2G86	Dual XOR Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUC2GU04	74AUC2G04, Dual NOT Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUP1G00	Single NAND Gate, Low-Voltage CMOS	https://www.ti.com/lit/ds/symlink/sn74aup1g00.pdf
74AUP1G02	Single NOR Gate, Low-Voltage CMOS	https://www.ti.com/lit/ds/symlink/sn74aup1g02.pdf
74AUP1G04	Single NOT Gate, Low-Voltage CMOS	https://www.ti.com/lit/ds/symlink/sn74aup1g04.pdf
74AUP1G06	Single NOT Gate, Open Drain, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUP1G07	Single Buffer Gate, Open Drain, Low-Voltage CMOS	https://www.ti.com/lit/ds/symlink/sn74aup1g07
74AUP1G08	Single AND Gate, Low-Voltage CMOS	https://www.ti.com/lit/ds/symlink/sn74aup1g08.pdf
74AUP1G125	Single Buffer Gate Tri-State, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUP1G126	Single Buffer Gate Tri-State, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUP1G14	Single Schmitt NOT Gate, Low-Voltage CMOS	https://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUP1G17	Single Schmitt Buffer Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUP1G240	Single Buffer/Driver Gate Tri-State, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUP1G32	Single OR Gate, Low-Voltage CMOS	https://www.ti.com/lit/ds/symlink/sn74aup1g32.pdf
74AUP1G34	Single Buffer Gate, Low-Voltage CMOS	https://www.ti.com/lit/ds/symlink/sn74aup1g34.pdf
74AUP1G57	Configurable Multi-Function Single Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUP1G58	74LAUP1G58, Configurable Multi-Function Single Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUP1G74	Single D Flip-Flop, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUP1G79	Single D Flip-Flop, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUP1G80	Single D Flip-Flop, Inverted Output, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUP1G97	Configurable Multi-Function Single Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUP1G98	Configurable Multi-Function Single Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUP1G99	Configurable Multi-Function Single Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74AUP1GU04	74AUP1G04, Single NOT Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74CB3T1G125	Single FET Bus Switch	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74CBTD1G125	Single FET Bus Switch	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74CBTD1G384	Single FET Bus Switch	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74CBTLV1G125	Single FET Bus Switch	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC1G97	Configurable Multi-Function Single Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC1G98	Configurable Multi-Function Single Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC1GU04	74LVC1G04, Single NOT Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC2GU04	74LVC2G04, Dual NOT Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
74LVC3GU04	74LVC3G04, Triple NOT Gate, Low-Voltage CMOS	http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
